match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,elapsed_seconds,p1_score_num,p2_score_num,score_diff,total_points_won_diff,games_diff,sets_diff,is_server_p1,serve_no_binary,is_break_point,is_game_point,p1_winners_total,p2_winners_total,p1_errors_total,p2_errors_total,p1_win_rate_5,p2_win_rate_5,p1_game_wins_3,point_in_match,total_points_in_match,match_progress,next_point_victor,target,target_3points
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,BC,NCTL,ND,0.0,0,0,0,-1,0,0,1,0,False,False,0,0,1,0,0.0,1.0,0.0,1,300,0.0033333333333333335,1.0,1,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,B,CTL,ND,38.0,0,1,-1,0,0,0,1,1,False,False,0,0,1,0,0.5,0.5,0.0,2,300,0.006666666666666667,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,B,NCTL,D,61.0,1,1,0,-1,0,0,1,1,False,False,0,0,2,0,0.3333333333333333,0.6666666666666667,0.0,3,300,0.01,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,BW,CTL,D,91.0,1,2,-1,0,0,0,1,1,False,False,1,0,2,0,0.5,0.5,0.0,4,300,0.013333333333333334,1.0,1,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112.0,W,NCTL,ND,141.0,2,2,0,1,0,0,1,1,False,False,2,0,2,0,0.6,0.4,0.0,5,300,0.016666666666666666,2.0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,BW,NCTL,ND,170.0,3,2,1,0,0,0,1,0,False,True,2,0,2,0,0.6,0.4,0.0,6,300,0.02,1.0,1,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,W,CTL,D,213.0,3,3,0,1,0,0,1,1,False,False,3,0,2,0,0.6,0.4,0.0,7,300,0.023333333333333334,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,AD,40,1,2,2,4,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,B,NCTL,ND,241.0,4,3,1,0,0,0,1,0,False,True,3,1,2,0,0.6,0.4,0.0,8,300,0.02666666666666667,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128.0,BC,CTL,D,288.0,3,3,0,1,0,0,1,1,False,False,3,1,2,0,0.6,0.4,0.0,9,300,0.03,1.0,1,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,AD,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110.0,B,NCTL,ND,332.0,4,3,1,2,0,0,1,1,False,True,3,1,2,0,0.6,0.4,1.0,10,300,0.03333333333333333,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,0,0,2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112.0,W,CTL,D,425.0,0,0,0,1,1,0,0,1,False,False,3,2,2,0,0.6,0.4,1.0,11,300,0.03666666666666667,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,0,15,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130.0,W,NCTL,D,448.0,0,1,-1,2,1,0,0,1,False,False,3,2,2,0,0.6,0.4,1.0,12,300,0.04,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,0,0,1,0,15,15,2,1,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120.0,C,NCTL,D,486.0,1,1,0,3,1,0,0,1,False,False,3,2,2,1,0.8,0.19999999999999996,1.0,13,300,0.043333333333333335,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,30,15,2,1,2,8,6,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128.0,W,NCTL,ND,521.0,2,1,1,2,1,0,0,1,False,False,3,3,2,1,0.6,0.4,1.0,14,300,0.04666666666666667,2.0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,30,30,2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130.0,C,NCTL,ND,551.0,2,2,0,1,1,0,0,1,False,False,3,3,2,1,0.4,0.6,1.0,15,300,0.05,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,30,40,2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97.0,BW,NCTL,D,577.0,2,3,-1,2,1,0,0,0,False,True,3,3,2,1,0.6,0.4,1.0,16,300,0.05333333333333334,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:20,1,2,17,0,0,1,0,40,40,2,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124.0,BC,NCTL,ND,620.0,3,3,0,1,1,0,0,1,False,False,3,3,2,1,0.4,0.6,1.0,17,300,0.056666666666666664,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,0,0,1,0,40,AD,2,1,2,9,9,2,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116.0,C,NCTL,ND,645.0,3,4,-1,0,1,0,0,1,False,True,3,4,2,1,0.2,0.8,1.0,18,300,0.06,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:24,1,3,19,0,0,1,1,0,0,1,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126.0,C,CTL,ND,684.0,0,0,0,1,0,0,1,1,False,False,4,4,2,1,0.4,0.6,1.0,19,300,0.06333333333333334,1.0,1,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,0,0,1,1,15,0,1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127.0,W,CTL,D,707.0,1,0,1,2,0,0,1,1,False,False,4,4,2,1,0.6,0.4,1.0,20,300,0.06666666666666667,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,0,0,1,1,30,0,1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114.0,BW,NCTL,D,737.0,2,0,2,1,0,0,1,1,False,False,4,4,2,1,0.4,0.6,1.0,21,300,0.07,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,0,0,1,1,30,15,1,1,1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127.0,B,NCTL,ND,764.0,2,1,1,2,0,0,1,1,False,False,4,4,2,2,0.6,0.4,1.0,22,300,0.07333333333333333,1.0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,0,0,1,1,40,15,1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103.0,BC,NCTL,D,806.0,3,1,2,3,0,0,1,0,False,True,4,4,2,2,0.8,0.19999999999999996,2.0,23,300,0.07666666666666666,2.0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:15:31,1,4,24,0,0,2,1,0,0,2,2,2,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107.0,BC,NCTL,ND,931.0,0,0,0,2,1,0,0,0,False,False,4,4,3,2,0.6,0.4,2.0,24,300,0.08,2.0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:15,1,4,25,0,0,2,1,0,15,2,1,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111.0,BW,NCTL,ND,975.0,0,1,-1,1,1,0,0,1,False,False,4,4,3,2,0.4,0.6,2.0,25,300,0.08333333333333333,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:47,1,4,26,0,0,2,1,0,30,2,1,2,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125.0,C,NCTL,ND,1007.0,0,2,-2,0,1,0,0,1,False,False,4,5,3,2,0.4,0.6,2.0,26,300,0.08666666666666667,2.0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:08,1,4,27,0,0,2,1,0,40,2,1,2,13,14,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126.0,W,NCTL,ND,1028.0,0,3,-3,-1,1,0,0,1,False,True,4,6,3,2,0.2,0.8,2.0,27,300,0.09,1.0,1,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:49,1,5,28,0,0,2,2,0,0,1,1,1,14,14,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116.0,W,CTL,ND,1069.0,0,0,0,0,0,0,1,1,False,False,5,6,3,2,0.2,0.8,2.0,28,300,0.09333333333333334,1.0,1,0
